['281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000']
         1417665 function calls (1390735 primitive calls) in 2.815 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:25(normalize_path)
        1    0.000    0.000    0.000    0.000 _common.py:38(get_resource_reader)
        1    0.000    0.000    0.000    0.000 _common.py:55(resolve)
        1    0.000    0.000    0.000    0.000 _common.py:60(get_package)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _config.py:132(as_dict)
        1    0.000    0.000    0.000    0.000 _config.py:159(Limits)
        1    0.000    0.000    0.000    0.000 _config.py:16(UnsetType)
        1    0.000    0.000    0.000    0.000 _config.py:173(__init__)
        1    0.000    0.000    0.000    0.000 _config.py:201(Proxy)
        1    0.000    0.000    0.063    0.063 _config.py:23(create_ssl_context)
        1    0.000    0.000    0.000    0.000 _config.py:72(Timeout)
        3    0.000    0.000    0.000    0.000 _config.py:86(__init__)
        1    0.000    0.000    0.015    0.015 _connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _connection.py:151(Connection)
        1    0.000    0.000    0.000    0.000 _connection.py:167(__init__)
      287    0.000    0.000    0.000    0.000 _connection.py:217(our_state)
     1498    0.001    0.000    0.001    0.000 _connection.py:224(their_state)
        1    0.000    0.000    0.000    0.000 _connection.py:235(start_next_cycle)
      279    0.000    0.000    0.000    0.000 _connection.py:260(_server_switch_event)
      282    0.001    0.000    0.004    0.000 _connection.py:272(_process_event)
        9    0.000    0.000    0.000    0.000 _connection.py:320(_get_io_object)
      283    0.000    0.000    0.001    0.000 _connection.py:342(_respond_to_state_changes)
        1    0.000    0.000    0.000    0.000 _connection.py:353(trailing_data)
      328    0.000    0.000    0.001    0.000 _connection.py:364(receive_data)
      607    0.001    0.000    0.007    0.000 _connection.py:410(_extract_next_receive_event)
      607    0.002    0.000    0.014    0.000 _connection.py:438(next_event)
        1    0.000    0.000    0.000    0.000 _connection.py:51(NEED_DATA)
        3    0.000    0.000    0.001    0.000 _connection.py:517(send)
        3    0.000    0.000    0.001    0.000 _connection.py:544(send_with_data_passthrough)
        1    0.000    0.000    0.000    0.000 _connection.py:55(PAUSED)
        2    0.000    0.000    0.000    0.000 _connection.py:84(_keep_alive)
        2    0.000    0.000    0.000    0.000 _connection.py:93(_body_framing)
        1    0.000    0.000    0.004    0.004 _content.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _content.py:186(encode_request)
        1    0.000    0.000    0.000    0.000 _content.py:31(ByteStream)
        1    0.000    0.000    0.000    0.000 _content.py:32(__init__)
        4    0.000    0.000    0.000    0.000 _content.py:35(__iter__)
        1    0.000    0.000    0.000    0.000 _content.py:42(IteratorByteStream)
        1    0.000    0.000    0.000    0.000 _content.py:67(AsyncIteratorByteStream)
        1    0.000    0.000    0.000    0.000 _content.py:92(UnattachedStream)
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:109(AsyncContextManagerMixin)
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:13(_SupportsCtxMgr)
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:17(_SupportsAsyncCtxMgr)
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:23(ContextManagerMixin)
        1    0.000    0.000    0.001    0.001 _decoders.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decoders.py:101(flush)
        1    0.000    0.000    0.000    0.000 _decoders.py:108(BrotliDecoder)
        1    0.000    0.000    0.000    0.000 _decoders.py:161(ZStandardDecoder)
        1    0.000    0.000    0.000    0.000 _decoders.py:203(MultiDecoder)
        1    0.000    0.000    0.000    0.000 _decoders.py:228(ByteChunker)
        2    0.000    0.000    0.000    0.000 _decoders.py:233(__init__)
      555    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
        2    0.000    0.000    0.000    0.000 _decoders.py:260(flush)
        1    0.000    0.000    0.000    0.000 _decoders.py:267(TextChunker)
        1    0.000    0.000    0.000    0.000 _decoders.py:306(TextDecoder)
        1    0.000    0.000    0.000    0.000 _decoders.py:311(__init__)
