['281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000']
         1180019 function calls (1156016 primitive calls) in 2.776 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
       38    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:991(update)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:25(normalize_path)
        1    0.000    0.000    0.001    0.001 _common.py:38(get_resource_reader)
        1    0.000    0.000    0.000    0.000 _common.py:55(resolve)
        1    0.000    0.000    0.000    0.000 _common.py:60(get_package)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _deprecation.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _deprecation.py:22(_deprecated_alias)
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _functools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _functools.py:6(method_cache)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.000    0.000 _html5lib.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _htmlparser.py:1(<module>)
      112    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
     6642    0.018    0.000    0.180    0.000 _htmlparser.py:142(handle_starttag)
     6642    0.010    0.000    0.084    0.000 _htmlparser.py:204(handle_endtag)
     6484    0.003    0.000    0.007    0.000 _htmlparser.py:222(handle_data)
       18    0.000    0.000    0.009    0.001 _htmlparser.py:226(handle_charref)
       18    0.000    0.000    0.000    0.000 _htmlparser.py:266(handle_entityref)
      248    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:294(handle_decl)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:330(HTMLParserTreeBuilder)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:347(__init__)
        4    0.000    0.000    0.000    0.000 _htmlparser.py:377(prepare_markup)
        2    0.000    0.000    0.520    0.260 _htmlparser.py:449(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:61(BeautifulSoupHTMLParser)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:84(__init__)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _internal_utils.py:25(to_native_string)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:38(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 _itertools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lxml.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
      248    0.001    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        2    0.000    0.000    0.000    0.000 _markupbase.py:32(reset)
     6642    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
    26334    0.012    0.000    0.019    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:32(SimplePath)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:211(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:512(AddressList)
        1    0.000    0.000    0.016    0.016 _policybase.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:279(Compat32)
       40    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       28    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       40    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.030    0.030 _request_methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _request_methods.py:20(RequestMethods)
        4    0.000    0.000    0.000    0.000 _request_methods.py:51(__init__)
        1    0.000    0.000    0.002    0.002 _text.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text.py:7(FoldedCase)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       10    0.000    0.000    0.000    0.000 _text.py:90(lower)
        1    0.000    0.000    0.007    0.007 _typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:45(_RegularExpressionProtocol)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _warnings.py:15(UnusualUsageWarning)
        1    0.000    0.000    0.000    0.000 _warnings.py:26(MarkupResemblesLocatorWarning)
        1    0.000    0.000    0.000    0.000 _warnings.py:4(GuessedAtParserWarning)
        1    0.000    0.000    0.000    0.000 _warnings.py:62(AttributeResemblesVariableWarning)
        1    0.000    0.000    0.000    0.000 _warnings.py:83(XMLParsedAsHTMLWarning)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:101(PathEntryFinder)
       59    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       27    0.000    0.000    0.000    0.000 abc.py:110(register)
       28    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
    70/39    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 abc.py:150(ResourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:166(InspectLoader)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.000    0.000 abc.py:219(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 abc.py:256(FileLoader)
        1    0.000    0.000    0.000    0.000 abc.py:265(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:312(ResourceReader)
        1    0.000    0.000    0.000    0.000 abc.py:32(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:354(Traversable)
        1    0.000    0.000    0.000    0.000 abc.py:422(TraversableResources)
        1    0.000    0.000    0.000    0.000 abc.py:64(MetaPathFinder)
       35    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.006    0.006 adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:113(BaseAdapter)
        2    0.000    0.000    0.000    0.000 adapters.py:116(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:143(HTTPAdapter)
        2    0.000    0.000    0.000    0.000 adapters.py:178(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:216(init_poolmanager)
        1    0.000    0.000    0.000    0.000 adapters.py:280(cert_verify)
        1    0.000    0.000    0.001    0.001 adapters.py:336(build_response)
        1    0.000    0.000    0.000    0.000 adapters.py:373(build_connection_pool_key_attributes)
        1    0.000    0.000    0.000    0.000 adapters.py:423(get_connection_with_tls_context)
        2    0.000    0.000    0.000    0.000 adapters.py:513(close)
        1    0.000    0.000    0.000    0.000 adapters.py:523(request_url)
        1    0.000    0.000    0.000    0.000 adapters.py:555(add_headers)
        1    0.000    0.000    1.592    1.592 adapters.py:590(send)
        1    0.000    0.000    0.000    0.000 adapters.py:76(_urllib3_request_context)
        2    0.000    0.000    0.038    0.019 api.py:1(<module>)
        1    0.000    0.000    1.878    1.878 api.py:14(request)
        1    0.000    0.000    1.878    1.878 api.py:62(get)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:107(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:69(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:76(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:99(HTTPProxyAuth)
